x,psi_deg0,psi_deg1,psi_deg2,psi_deg3,psi_deg4,psi_deg5,psi_deg6,psi_infty
0.81651376146789,0.438832630002382,0.427138352761837,0.42638211198683,0.426370903728892,0.426380492015191,0.426391549628473,0.42638834356599,0.42640387963082
0.834862385321101,0.438832630002382,0.429224302788489,0.428898481213711,0.428928916798604,0.428929296777608,0.428957505195371,0.428939699489444,0.428954283788225
0.853211009174312,0.438832630002382,0.43131025281514,0.43131704905001,0.431368312244314,0.431360452329768,0.431398890547989,0.431371235350427,0.431383872586697
0.871559633027523,0.438832630002382,0.433396202841792,0.433637815495726,0.433693377544992,0.43368049251197,0.433718865269763,0.433689189954994,0.433699536220706
0.889908256880734,0.438832630002382,0.435482152868443,0.43586078055086,0.435908400179609,0.435894804429494,0.435921401573143,0.43589904745989,0.435907731309136
0.908256880733945,0.438832630002382,0.437568102895095,0.437985944215412,0.438017667627135,0.438007628452603,0.438012273928951,0.438005691336961,0.438014508213931
0.926605504587156,0.438832630002382,0.439654052921746,0.44001330648938,0.440025467366542,0.44002205821654,0.440000048695755,0.44001363293416,0.440025536974518
0.944954128440367,0.438832630002382,0.441740002948398,0.441942867372767,0.441936086876799,0.441940040621533,0.441897073749228,0.441927314633137,0.441946131844928
0.963302752293578,0.438832630002382,0.443825952975049,0.443774626865571,0.443753813636878,0.443762375832791,0.443720468111523,0.443751487603426,0.443781274442622
0.981651376146789,0.438832630002382,0.445911903001701,0.445508584967792,0.445482935125749,0.445488717280506,0.445493111580635,0.445491664153227,0.445535635534733
1,0.438832630002382,0.447997853028352,0.447144741679431,0.447127738822382,0.447117571659852,0.447244634359769,0.447154644676772,0.447213595499958
